,OPEN,HIGH,LOW,CLOSE,VOLUME,AMT
2017-01-03 00:00:00.005,7.71,7.83,7.62,7.79,16491139.000000002,127736259.0
2017-01-04 00:00:00.005,7.72,7.9,7.65,7.83,24794438.0,192750927.0
2017-01-05 00:00:00.005,7.77,7.92,7.71,7.81,20265466.0,158450318.0
2017-01-06 00:00:00.005,7.8,7.8,7.63,7.71,14923010.0,115057545.0
2017-01-09 00:00:00.005,7.73,7.78,7.65,7.78,10208992.0,79043935.0
2017-01-10 00:00:00.005,7.74,7.81,7.69,7.71,8440204.0,65292273.0
2017-01-11 00:00:00.005,7.66,7.71,7.4,7.41,14815200.0,111794670.0
2017-01-12 00:00:00.005,7.41,7.45,7.27,7.27,8873117.0,65218893.0
2017-01-13 00:00:00.005,7.14,7.16,7.03,7.06,12093662.0,85663945.0
2017-01-16 00:00:00.005,7.05,7.05,6.4,6.81,10562401.0,72258819.0
2017-01-17 00:00:00.005,6.75,6.91,6.67,6.88,5117354.0,34894006.0
2017-01-18 00:00:00.005,6.87,6.91,6.81,6.83,4288518.0,29402194.0
2017-01-19 00:00:00.005,6.83,6.85,6.7,6.79,3720900.0,25186822.0
2017-01-20 00:00:00.005,6.72,6.89,6.72,6.88,5090097.0,34891705.0
2017-01-23 00:00:00.005,6.89,6.99,6.89,6.97,4386901.0,30527974.0
2017-01-24 00:00:00.005,6.99,7.14,6.97,7.04,5361738.0,37872909.0
2017-01-25 00:00:00.005,7.03,7.06,6.96,7.05,3127032.0,21988630.0
2017-01-26 00:00:00.005,7.08,7.14,7.06,7.11,3967400.0,28183184.0
2017-02-03 00:00:00.005,7.12,7.13,6.99,7.01,3591601.9999999995,25240130.0
2017-02-06 00:00:00.005,7.01,7.64,6.91,7.31,15479885.0,113467913.0
2017-02-07 00:00:00.005,7.26,7.26,7.02,7.12,31087492.0,220741795.0
2017-02-08 00:00:00.005,7.09,7.12,7.03,7.1,15380929.999999998,108776706.0
2017-02-09 00:00:00.005,7.04,7.09,6.99,7.09,21388904.0,151002434.0
2017-02-10 00:00:00.005,7.08,7.15,7.06,7.12,17485366.0,124148944.0
2017-02-13 00:00:00.005,7.1,7.14,7.05,7.12,13750650.0,97581510.0
2017-02-14 00:00:00.005,7.1,7.1,7.03,7.05,10813138.0,76325594.0
2017-02-15 00:00:00.005,7.05,7.15,7.01,7.06,13413332.999999998,94800033.0
2017-02-16 00:00:00.005,7.05,7.09,7.03,7.07,9669552.0,68284907.0
2017-02-17 00:00:00.005,7.17,7.27,7.07,7.11,21826779.0,155983455.0
2017-02-20 00:00:00.005,7.05,7.13,7.02,7.12,8726564.0,61851748.0
2017-02-21 00:00:00.005,7.13,7.18,7.08,7.17,13460026.0,95972400.0
2017-02-22 00:00:00.005,7.17,7.18,7.12,7.17,9721258.0,69501472.0
2017-02-23 00:00:00.005,7.18,7.26,7.13,7.2,12902892.0,92667682.0
2017-02-24 00:00:00.005,7.19,7.2,7.13,7.17,9387564.0,67176452.0
2017-02-27 00:00:00.005,7.16,7.2,7.08,7.08,9272800.0,66136715.0
2017-02-28 00:00:00.005,7.08,7.11,7.04,7.09,10298940.0,72939806.0
2017-03-01 00:00:00.005,7.06,7.11,7.04,7.08,11412640.0,80732946.0
2017-03-02 00:00:00.005,7.09,7.09,6.93,6.94,17673508.0,123448826.0
2017-03-03 00:00:00.005,6.89,7.0,6.86,6.97,9330001.0,64700965.0
2017-03-06 00:00:00.005,6.93,7.07,6.68,7.07,11187604.0,78425604.0
2017-03-07 00:00:00.005,7.12,7.14,7.01,7.09,9372800.0,66379702.99999999
2017-03-08 00:00:00.005,7.09,7.12,7.03,7.09,7686700.0,54414566.0
2017-03-09 00:00:00.005,7.07,7.07,6.91,6.99,10661099.0,74441608.0
2017-03-10 00:00:00.005,6.98,6.99,6.93,6.96,4899588.0,34099185.0
2017-03-13 00:00:00.005,6.95,6.99,6.9,6.98,6153718.0,42792592.0
2017-03-14 00:00:00.005,6.96,6.97,6.91,6.92,10077815.0,69871212.0
2017-03-15 00:00:00.005,6.9,7.08,6.86,7.06,17023374.0,118748149.0
2017-03-16 00:00:00.005,7.0,7.05,6.98,7.03,14191588.0,99536205.0
2017-03-17 00:00:00.005,7.0,7.06,6.93,6.94,9747788.0,68279276.0
2017-03-20 00:00:00.005,6.92,7.0,6.89,6.96,6671448.0,46303146.0
2017-03-21 00:00:00.005,7.32,7.49,7.1,7.12,39737713.0,286469103.0
2017-03-22 00:00:00.005,7.06,7.09,6.97,6.98,18482507.0,129726232.0
2017-03-23 00:00:00.005,6.97,7.01,6.87,6.92,13523378.0,93844201.0
2017-03-24 00:00:00.005,6.86,6.96,6.86,6.93,8523467.0,58911594.0
2017-03-27 00:00:00.005,6.93,6.97,6.9,6.9,7089670.0,49128801.0
2017-03-28 00:00:00.005,6.92,6.94,6.88,6.9,5512644.0,38072278.0
2017-03-29 00:00:00.005,6.87,6.96,6.85,6.89,8985419.0,62027604.0
2017-03-30 00:00:00.005,6.91,6.91,6.73,6.76,11443961.0,77770249.0
2017-03-31 00:00:00.005,6.75,6.84,6.74,6.78,6030119.0,40871722.0
2017-04-05 00:00:00.005,6.85,6.95,6.84,6.94,14024953.0,96872489.0
2017-04-06 00:00:00.005,6.96,7.18,6.89,7.11,22693982.0,160167222.0
2017-04-07 00:00:00.005,7.07,7.13,6.99,7.06,12915875.0,91124622.0
2017-04-10 00:00:00.005,7.02,7.15,6.96,7.04,14083640.0,99556145.0
2017-04-11 00:00:00.005,7.02,7.56,6.85,7.38,37486278.0,269326226.0
2017-04-12 00:00:00.005,7.29,7.48,7.19,7.29,35490231.0,259121531.0
